,"When I work in a group, I do higher quality work.","When I work in a group, I end up doing most of the work.",The work takes more time to complete when I work with other students.,My group members help explain things that I do not understand.,"When I work in a group, I am able to share my ideas.",My group members make me feel that I am not as smart as they are.,The material is easier to understand when I work with other students.,The workload is usually less when I work with other students.,My group members respect my opinions.,I feel I am part of what is going on in the group.,I do not think a group grade is fair.,I try to make sure my group members learn the material.,I learn to work with students who are different from me.,My group members do not care about my feelings.,I feel working in groups is a waste of time.,I have to work with students who are not as smart as I am.,When I work with other students the work is divided equally.,I prefer to take on tasks that will help me better learn the material.,I also learn when I teach the material to my group members.,I become frustrated when my group members do not understand the material.,Everyone’s ideas are needed if we are going to be successful.,"You have a certain amount of physics intelligence, and you can’t really do much to change it.",Your physics intelligence is something about you that you can change.,"You can learn new things, but you can’t really change your basic physics intelligence."
0,1.0,4.0,2.0,2.0,3.0,5.0,4.0,2.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,0.8333333333333334,5.0
1,5.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0
2,4.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,3.0,5.0,4.0,5.0,2.0,4.0,5.0,5.0,5.0
3,3.0,3.0,1.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0
4,3.0,2.0,3.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,5.0,3.0,4.0,1.0,5.0,4.166666666666667,1.6666666666666667,4.166666666666667
5,3.0,2.0,2.0,4.0,5.0,1.0,2.0,4.0,5.0,5.0,1.0,4.0,5.0,1.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,4.166666666666667,5.0,4.166666666666667
6,2.0,4.0,2.0,4.0,5.0,1.0,2.0,5.0,5.0,5.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0
7,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.3333333333333335,4.166666666666667,3.3333333333333335
8,5.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,3.3333333333333335,5.0,4.166666666666667
9,4.0,2.0,2.0,5.0,5.0,1.0,5.0,4.0,4.0,5.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,5.0,4.166666666666667,4.166666666666667,3.3333333333333335
10,4.0,4.0,1.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,2.0,5.0,5.0,2.0,1.0,1.0,4.0,5.0,5.0,2.0,4.0,4.166666666666667,4.166666666666667,4.166666666666667
11,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.166666666666667,4.166666666666667,4.166666666666667
12,3.0,3.0,3.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,4.0,1.0,5.0,4.166666666666667,4.166666666666667,4.166666666666667
13,5.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,0.8333333333333334,5.0
14,3.0,3.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0,4.166666666666667,4.166666666666667,4.166666666666667
15,4.0,3.0,2.0,1.0,5.0,1.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,1.0,1.0,3.0,4.0,2.0,5.0,1.0,4.0,3.3333333333333335,3.3333333333333335,3.3333333333333335
16,4.0,3.0,3.0,5.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,5.0,4.166666666666667,4.166666666666667,4.166666666666667
