,,MR1,MR2,MR3,MR4,MR5,MR6,MR7
When.I.work.in.a.group..I.do.higher.quality.work.,1,0.47,      ,      ,      ,      ,      ,      
When.I.work.in.a.group..I.end.up.doing.most.of.the.work.,2,      ,      ,      ,      ,      ,-0.549,      
The.work.takes.more.time.to.complete.when.I.work.with.other.students.,3,-0.526,      ,      ,      ,      ,      ,      
My.group.members.help.explain.things.that.I.do.not.understand.,4,0.327,      ,      ,      ,      ,      ,      
When.I.work.in.a.group..I.am.able.to.share.my.ideas.,5,      ,      ,      ,0.374,      ,      ,      
My.group.members.make.me.feel.that.I.am.not.as.smart.as.they.are.,6,      ,      ,      ,-0.676,      ,      ,      
The.material.is.easier.to.understand.when.I.work.with.other.students.,7,0.647,      ,      ,      ,      ,      ,      
The.workload.is.usually.less.when.I.work.with.other.students.,8,0.53,      ,      ,      ,      ,      ,      
My.group.members.respect.my.opinions.,9,      ,      ,      ,0.726,      ,      ,      
I.feel.I.am.part.of.what.is.going.on.in.the.group.,10,      ,      ,      ,0.487,      ,      ,      
I.prefer.when.one.student.regularly.takes.on.a.leadership.role.,11,,,,,,,
I.prefer.when.the.leadership.role.rotates.between.students.,12,      ,      ,      ,      ,0.431,      ,      
I.do.not.think.a.group.grade.is.fair.,13,      ,      ,      ,      ,      ,      ,      
I.try.to.make.sure.my.group.members.learn.the.material.,14,      ,      ,      ,      ,0.478,      ,      
I.learn.to.work.with.students.who.are.different.from.me.,15,      ,      ,      ,      ,      ,      ,0.386
My.group.members.do.not.care.about.my.feelings.,16,      ,      ,      ,-0.525,      ,      ,      
I.let.the.other.students.do.most.of.the.work.,17,      ,      ,      ,-0.328,      ,      ,      
I.feel.working.in.groups.is.a.waste.of.time.,18,-0.511,      ,      ,      ,      ,      ,      
I.have.to.work.with.students.who.are.not.as.smart.as.I.am.,19,      ,      ,0.497,      ,      ,      ,      
When.I.work.with.other.students.the.work.is.divided.equally.,20,      ,      ,      ,      ,      ,0.756,      
We.cannot.complete.the.assignment.unless.everyone.contributes.,21,      ,      ,      ,      ,      ,0.353,      
I.prefer.to.take.on.tasks.that.I.m.already.good.at.,22,      ,      ,      ,      ,      ,      ,      
I.prefer.to.take.on.tasks.that.will.help.me.better.learn.the.material.,23,      ,      ,      ,      ,0.368,      ,      
I.also.learn.when.I.teach.the.material.to.my.group.members.,24,      ,      ,      ,      ,      ,      ,0.339
I.become.frustrated.when.my.group.members.do.not.understand.the.material.,25,      ,      ,0.567,      ,      ,      ,      
Everyone.s.ideas.are.needed.if.we.are.going.to.be.successful.,26,      ,      ,      ,      ,0.351,      ,      
When.I.work.with.other.students..we.spend.too.much.time.talking.about.other.things.,27,      ,      ,      ,      ,      ,      ,      
My.group.did.higher.quality.work.when.my.group.members.worked.on.tasks.together.,28,0.332,      ,      ,      ,0.413,      ,      
My.group.did.higher.quality.work.when.group.members.worked.on.different.tasks.at.the.same.time.,29,      ,      ,      ,      ,      ,      ,0.369
You.have.a.certain.amount.of.physics.intelligence..and.you.can.t.really.do.much.to.change.it.,30,      ,0.847,      ,      ,      ,      ,      
Your.physics.intelligence.is.something.about.you.that.you.can.change.,31,      ,-0.437,      ,      ,      ,      ,      
You.can.learn.new.things..but.you.can.t.really.change.your.basic.physics.intelligence.,32,      ,0.886,      ,      ,      ,      ,      
